id,name,slug,destinationId,image,description,location,rating,history,openingHours,facilities,gallery
"tanah-lot","Tanah Lot Temple","tanah-lot","bali","https://images.unsplash.com/photo-1537996194471-e657df975ab4?auto=format&fit=crop&w=800&q=80","An iconic ancient Hindu pilgrimage temple perched on a unique rock formation off the coast of Bali, famous for spectacular sunset views.","Tabanan, Bali","4.8","Built in the 16th century by the legendary priest Nirartha. Tanah Lot temple is a critical part of Balinese spiritual sea mythology, guarded by venomous sea snakes.","06:00 AM - 07:00 PM","["Parking Lot","Souvenir Shops","Washrooms","Restaurants","Guides"]","["https://images.unsplash.com/photo-1537996194471-e657df975ab4?auto=format&fit=crop&w=800&q=80","https://images.unsplash.com/photo-1537996194471-e657df975ab4?auto=format&fit=crop&w=800&q=80"]"
"ubud-monkey-forest","Ubud Monkey Forest","ubud-monkey-forest","bali","https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=800&q=80","A sanctuary and natural habitat of the Balinese long-tailed macaque, located in the cool highlands of Ubud.","Ubud, Bali","4.7","Also known as the Sacred Monkey Forest Sanctuary, this site is dedicated to conservation, spiritual devotion, and scientific research in accordance with the Tri Hita Karana philosophy.","09:00 AM - 06:00 PM","["Visitor Center","Restrooms","Information Desk","First Aid","Free Parking"]","["https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=800&q=80","https://images.unsplash.com/photo-1604999333679-b86d54738315?auto=format&fit=crop&w=800&q=80"]"
"uluwatu-temple","Uluwatu Cliff Temple","uluwatu-temple","bali","https://images.unsplash.com/photo-1537996194471-e657df975ab4?auto=format&fit=crop&w=800&q=80","Perched on a steep cliff 70 meters above the roaring Indian Ocean, this temple hosts the daily Kecak fire dance at sunset.","Pecatu, South Kuta, Bali","4.9","Constructed originally in the 11th century, it is dedicated to Sang Hyang Widhi Wasa in his manifestation as Rudra, protecting Bali from evil spirits.","07:00 AM - 07:00 PM","["Kecak Dance Stage","Traditional Sarong Rental","Walking Trails","Parking","Washrooms"]","["https://images.unsplash.com/photo-1537996194471-e657df975ab4?auto=format&fit=crop&w=800&q=80"]"
"tegalalang","Tegalalang Rice Terraces","tegalalang","bali","https://images.unsplash.com/photo-1604999333679-b86d54738315?auto=format&fit=crop&w=800&q=80","A beautiful terraced hillside showing the traditional Balinese cooperative irrigation system called Subak.","Tegalalang, Ubud, Bali","4.6","Dating back to the 8th century, these valleys are cultivated by local farmers who maintain subak, Bali's UNESCO-recognized communal water system.","08:00 AM - 06:00 PM","["Cafes","Swing Points","Photo Spots","Walkways","Local Guides"]","["https://images.unsplash.com/photo-1604999333679-b86d54738315?auto=format&fit=crop&w=800&q=80"]"
"nusa-penida","Nusa Penida Kelingking Beach","nusa-penida","bali","https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=800&q=80","A famous cliff formation resembling a T-Rex overlooking a crystal clear turquoise bay and pristine white sand.","Nusa Penida, Bali","4.9","A secluded island southeast of Bali main island, Nusa Penida remained untouched for centuries, preserving its dramatic limestone cliffs and rich marine biodiversity.","24 Hours (Best in Daylight)","["Local food stalls (Warungs)","Restrooms","Ferry Harbor Access","Viewing Deck"]","["https://images.unsplash.com/photo-1507525428034-b723cf961d3e?auto=format&fit=crop&w=800&q=80"]"
"monas","National Monument (Monas)","monas","jakarta","https://images.unsplash.com/photo-1505118380757-91f5f5632de0?auto=format&fit=crop&w=800&q=80","A 132-meter tower in the center of Merdeka Square, symbolizing the struggle for Indonesian Independence.","Central Jakarta","4.5","Commissioned by President Sukarno and opened in 1975, the flame at the top is covered with 35 kg of gold foil, representing independence spirit.","08:00 AM - 04:00 PM","["Museum of National History","Observation Deck","Electric Trains","Parks","Food Courts"]","["https://images.unsplash.com/photo-1505118380757-91f5f5632de0?auto=format&fit=crop&w=800&q=80"]"
"kota-tua","Old Batavia (Kota Tua)","kota-tua","jakarta","https://images.unsplash.com/photo-1596402184320-417e7178b2cd?auto=format&fit=crop&w=800&q=80","The historic core of Jakarta, boasting 17th-century Dutch colonial buildings centered around Fatahillah Square.","West Jakarta","4.4","Established by the Dutch East India Company (VOC) in 1619 as Batavia, it was the administrative headquarters of the colonial Dutch Empire in Asia.","24 Hours (Museums close at 03:00 PM)","["Bicycle Rental","Jakarta History Museum","Cafe Batavia","Street Performers","Train Station"]","["https://images.unsplash.com/photo-1596402184320-417e7178b2cd?auto=format&fit=crop&w=800&q=80"]"
"taman-mini","Taman Mini Indonesia Indah","taman-mini","jakarta","https://images.unsplash.com/photo-1620127252536-03bdfcf6d5c3?auto=format&fit=crop&w=800&q=80","A culture-based recreational area showcasing pavilions representing the traditional homes of all 38 Indonesian provinces.","East Jakarta","4.6","Conceived by former First Lady Tien Suharto and opened in 1975 to foster national pride, identity, and unity through cultural representations.","06:00 AM - 08:00 PM","["Cable Car","IMAX Theater","Museums","Traditional Houses","Bicycle Tracks"]","["https://images.unsplash.com/photo-1620127252536-03bdfcf6d5c3?auto=format&fit=crop&w=800&q=80"]"
"borobudur","Borobudur Temple","borobudur","yogyakarta","https://images.unsplash.com/photo-1584810359583-96fc3448beaa?auto=format&fit=crop&w=800&q=80","The world's largest Buddhist temple, a UNESCO World Heritage Site featuring 9 stacked platforms and 72 open-work stupas.","Magelang (near Yogyakarta)","5","Built during the Sailendra Dynasty in the 9th century, Borobudur lay hidden for centuries under volcanic ash and jungle growth before being rediscovered in 1814.","06:30 AM - 04:30 PM","["Visitor Center","Audioguides","Shuttle Trains","Souvenir Stalls","Museums","Wheelchair Access"]","["https://images.unsplash.com/photo-1584810359583-96fc3448beaa?auto=format&fit=crop&w=800&q=80","https://images.unsplash.com/photo-1579294819770-5b1285074b62?auto=format&fit=crop&w=800&q=80"]"
"prambanan","Prambanan Temple","prambanan","yogyakarta","https://images.unsplash.com/photo-1604999333679-b86d54738315?auto=format&fit=crop&w=800&q=80","A magnificent 10th-century Hindu temple compound dedicated to the Trimurti (Creator Brahma, Preserver Vishnu, and Destroyer Shiva).","Sleman, Yogyakarta","4.9","The largest Hindu temple site in Indonesia, built by the Sanjaya Dynasty. Its tall towering spires represent Mount Meru, the holy abode of Hindu gods.","06:30 AM - 05:00 PM","["Ramayana Ballet Stage","Souvenir Center","Park Area","Information Center","Restrooms"]","["https://images.unsplash.com/photo-1604999333679-b86d54738315?auto=format&fit=crop&w=800&q=80"]"
"keraton-yogyakarta","Yogyakarta Palace (Keraton)","keraton-yogyakarta","yogyakarta","https://images.unsplash.com/photo-1579294819770-5b1285074b62?auto=format&fit=crop&w=800&q=80","The grand palace complex of the Sultan of Yogyakarta, serving as a living museum of Javanese royal culture.","City Center, Yogyakarta","4.6","Built by Sultan Hamengkubuwono I in 1755, the palace displays exquisite Javanese architecture, court ornaments, and is still the current residence of the Sultan.","08:30 AM - 01:30 PM","["Exhibition Rooms","Local Guides","Cultural Shows","Museum Store","Toilets"]","["https://images.unsplash.com/photo-1579294819770-5b1285074b62?auto=format&fit=crop&w=800&q=80"]"
"malioboro","Malioboro Street","malioboro","yogyakarta","https://images.unsplash.com/photo-1582298538104-fc2c095a436c?auto=format&fit=crop&w=800&q=80","A famous 24-hour shopping street filled with street vendors selling batik, traditional crafts, street food, and horse cart rides.","City Center, Yogyakarta","4.5","Established in the colonial era, the street has served as Yogyakarta's commercial heart for over 250 years, linking the Sultan's palace and Mount Merapi.","24 Hours","["Benches","Batik Stores","Food Stalls","Parking buildings","Pedestrian Walkway"]","["https://images.unsplash.com/photo-1582298538104-fc2c095a436c?auto=format&fit=crop&w=800&q=80"]"
